TF	Gene	Input
AT4G23810	AT4G19690	1
AT4G23810	AT3G54120	1
AT4G23810	AT3G29770	1
AT4G23810	AT5G62880	1
AT4G23810	AT3G10572	1
AT4G23810	AT3G42950	1
AT4G23810	AT3G52990	1
AT4G23810	AT5G48900	1
AT4G23810	AT5G48910	1
AT4G23810	AT4G08030	1
AT4G23810	AT4G16590	1
AT4G23810	AT1G01190	1
AT4G23810	AT2G42620	1
AT4G23810	AT5G14930	1
AT4G23810	AT3G09390	1
AT4G23810	AT2G19190	1
AT4G23810	AT1G30490	1
AT4G23810	AT4G26120	1
AT4G23810	AT4G26050	1
AT4G23810	AT5G01890	1
AT4G23810	AT4G36180	1
AT4G23810	AT5G47230	1
AT4G23810	AT1G43850	1
AT4G23810	AT4G25470	1
AT4G23810	AT5G43170	1
AT4G23810	AT3G23240	1
AT4G23810	AT2G46680	1
AT4G23810	AT3G23250	1
AT4G23810	AT2G46270	1
AT1G14685	AT4G09960	1
AT4G01930	AT4G09960	1
AT2G21240	AT1G23420	1
AT1G22070	AT2G14610	1
AT5G06950	AT2G14610	1
AT5G61850	AT1G69120	1
AT4G18960	AT3G23130	1
AT5G15840	AT1G65480	1
AT5G15840	AT2G45660	1
AT5G13790	AT5G13790	1
AT2G46830	AT5G61380	1
AT1G01060	AT5G61380	1
AT2G17950	AT4G18960	1
AT4G18960	AT4G18960	1
AT4G18960	AT1G24260	1
AT4G18960	AT1G15550	1
AT4G18960	AT3G54340	1
AT4G18960	AT1G69180	1
AT1G75080	AT3G50660	1
AT1G75080	AT5G05690	1
AT4G23810	AT1G20620	1
AT4G23810	AT4G35090	1
AT4G23810	AT1G20630	1
AT4G23810	AT5G45890	1
AT4G23810	AT1G62300	1
AT4G23810	AT5G01900	1
AT4G23810	AT4G31800	1
AT4G23810	AT4G23550	1
AT4G23810	AT4G04450	1
AT4G23810	AT4G01250	1
AT4G23810	AT4G39410	1
AT4G23810	AT3G01080	1
AT3G24520	AT2G47180	1
AT4G02640	AT4G27160	1
AT3G26790	AT4G27160	1
AT3G26790	AT1G80340	1
AT5G10140	AT2G45660	1
AT4G08150	AT4G33870	1
AT4G08150	AT3G62000	1
AT4G08150	AT1G77530	1
AT3G54340	AT3G23130	1
AT5G13790	AT1G02400	1
AT4G27410	AT4G19120	1
AT1G52890	AT1G56410	1
AT3G15500	AT5G51070	1
AT1G69120	AT4G24540	1
AT4G09820	AT1G61720	1
AT5G35550	AT1G61720	1
AT1G69120	AT3G54340	1
AT3G54340	AT3G54340	1
AT3G54340	AT1G69490	1
AT4G18960	AT2G42830	1
AT4G18960	AT2G27330	1
AT5G02030	AT4G18960	1
