HDGF	SPTSSB	CD151
TRIM14	TSHZ1	INPP4A
CRADD	EEF1A1P9	MMACHC
STRIP1	CNIH	PIR
SARS	FBLN5	PRPF4
UBE2E2	OVGP1	SLC1A4
ZNF23	PFKP	ICAM2
YWHAH	FAM221A	MLST8
ZNF441	SEPT5	RPS27P25
ZNF346	COG2	NAPG
FYN	PYROXD2	ZBTB21
BDP1	SRSF2	ARHGEF39
MBIP	CTU1	FBXO41
HEXDC	KIF7	GPR124
FRYL	SYNC	LRRC47
L3HYPDH	RUNX2	SNX19
NR2C2	HPS4	TP53RK
PCMT1	NCSTN	CD3E
SLC25A39	TNFAIP1	PNPO
PGRMC1	RPL21P65	PITPNM2
DOK1	LTV1	OGFOD3
ZFP1	PFKM	BCKDK
C16orf91	ANLN	DDX39A
GPATCH11	CCDC90A	GDE1
URGCP	MCUR1	TGFB1
PJA1	GNL3L	COMMD2
CHMP1A	SLC35G2	UBE2E1
UMPS	PAPOLA	LSG1
ATP5C1	TYW3	TRIM59
SH2B3	ZNF235	RNF8
DYRK1A	TMEM79	SERTAD3
C2orf69	RRP12	FBXO11
RALGAPB	STK24	RNF149
RPL23	RHEBP2	SNED1
MIS12	PPP1R12C	RNU6-26
ADNP2	EIF4A1P7	ATRIP
SLA2	MRPL54	MOB2
PRKRIR	TAF5	HYPK
SLC36A4	GIGYF2	IFI27L1
LPGAT1	AJUBA	PRKCSH
TM2D1	RPL21P120	NPAT
DYNLT3	HMGN1P38	PIBF1
CENPI	PRELID1	TMEM67
CTCF	HCFC1R1	GRAMD1A
PAPD7	LONP2	MTMR10
FAM92A1P1	C10orf76	DDX26B
H3F3AP4	PRB3	RGL2
RPS15AP1	CEP72	SMARCD2
PLS1	WT1	RRM2B
YWHAB	EWSR1	ATG9A
RMDN2	MAPKAPK5	MRPL22
AKAP10	NSMAF	PSMC4
PSMF1	CYB5D1	NCOA6
HMGN5	SETD4	MORF4L1
EAF2	CKS1BP6	AGFG2
MAP2K1	MGRN1	ARIH2
CMAS	HSCB	CAPNS1
XPR1	COX19	TMEM132A
APITD1	IGIP	TMX4
RPS3	CLPP	ARPC4
UQCRFS1	RPL4P5	IPCEF1
IMPA1	TMED2	RAB8B
RSF1	IL10RA	RUFY2
KANSL2	PRDM4	SEPT6
THAP4	EFHD2	TLR5
GAS5	EEPD1	TUBGCP6
ZBTB49	ZNF839	ABLIM2
CCDC6	PIK3R1	DCTN5
EIF2AK1	RPL13P12	SHMT1
NVL	COG3	AGPAT3
RPL34P33	OCIAD1	ZBTB33
REST	LEMD3	FAM162A
SAE1	WBP2	RINT1
CD44	PCMTD1	APOM
FAM179B	RPS18P12	SEC16A
SPSB3	MMAB	CBFA2T2
SRGAP2	TBC1D7	MPHOSPH8
KBTBD6	IER2	BRD7
PIP4K2A	IFT43	RNF214
RIOK2	EEF1E1	N4BP2
BRAF	SSBP3	ZNF397
PTPN3	ZC3H7B	MLXIP
NELFB	EPM2AIP1	RN7SKP255
SNIP1	RPL21P39	PRPF3
C10orf76	DDHD2	FAHD2B
CDK1	ARNTL2	SNTB2
CEP78	CDK5RAP2	SRRM2
UBE2Q1	ESRP1	TTTY15
ZNF704	MAPK6	SSX2IP
CYP20A1	RNF145	PLAA
UBE2V1	C1orf85	ERCC8
HSPB1P2	TRAPPC3	COX5B
DEK	RPL21P119	ZNF680
ETS1	ZNF124	RNF31
B3GALTL	HYOU1	SETP18
SRSF10	DCAF11	MTMR14
LRMP	ANGEL1	GLTP
RPL21P11	HAGHL	DNAJA3
FOXK2	CHST14	FBXO4
COG2	DNAJB1	FABP5P2
DGCR6	RBMS1	SLC35B3
RPP21	PLK1S1	AMICA1
C10orf25	ZMAT1	ZNF444
DDB1	XXYLT1	COX7A2P2
RPL21P107	NUP214	TUBA1A
NTAN1	E2F7	DUSP10
MNT	RNF31	TMEM177
RNF11	ANKRD26	LEMD3
CTSF	PATZ1	SLC52A2
DDX21	CERCAM	CREB3
CAST	SPICE1	YEATS2
FXN	MYL12A	STK4
PPM1L	SENP3	MAPK9
DAZAP2	NDUFA2	FAM172A
MBNL1	RBL2	RPL19P12
NOP14	ATP2A3	ZNF445
MOGS	ATP6V0A2	MDC1
CRHR1-IT1	SLC25A13	ATP6V0B
RPL21P40	POLA1	PDLIM1
CHD8	RECK	TRPM7
POLR3F	NME2P1	METTL21A
PDCD10	NPC1	DUT
CMTM3	ADAMTS6	BSCL2
ZNF286A	PARP12	INO80D
H6PD	KBTBD2	CEPT1
RNASEH2B	MARCH2	KIAA0430
VPS41	PBXIP1	CD47
TAX1BP1	DNAJC30	INPP5D
NR2F6	CEP170P1	FAM115A
HDAC8	SS18L2	ATP6V1D
IGF2R	TMEM87B	C5orf51
FBXO46	CLCN6	CHD7
TIAM1	CAPN10	STAMBPL1
SEPHS1P4	GRINA	RHOU
AMZ2	SEPT11	ARF4
RPS20	DHX36	SLC26A2
CLDN12	SATB1	RNU6-37
MFAP1	VAV1	RNU6-37P
ZNF821	RPS27P26	CLSTN1
MT2A	RPL21P28	SKIDA1
DNASE1L2	SSBP1	PPM1M
CENPW	C2orf76	CHRAC1
VPS39	DAB2	FAM175B
LUC7L3	CLHC1	PKM
STRIP2	RAB5B	CLPP
LRRC8D	CLIC1	PDRG1
HEG1	POLD4	DAD1
KIAA0753	IRAK1BP1	C12orf75
C16orf58	DSCR3	TLE2
CCDC86	PAK1	IRAK1BP1
GK	PNO1	PPM1A
HMGN4	UBA3	FAM73B
VIPAS39	C1orf63	PAGR1
TROAP	GDPD3	TMEM194A
SLBP	RAE1	HNRNPH2
PSMD10	HSPA8	U2AF1L4
TNFAIP1	ABCF3	ASB1
ATP1B3	RHEBL1	MCRS1
SETD4	CPSF6	HNRNPL
STAT1	ALDH3A2	ANAPC15
DUSP12	PAQR4	RPL21P17
KNSTRN	PHLDA3	CCDC88B
FBXO28	MTERFD3	ZFX
COX6B1	IVNS1ABP	EIF3CL
ATRNL1	STRIP2	ZNF317
ZNF45	CSRP1	GFM2
SLC35E2	ABHD14B	LMF2
NDUFA12	RAF1	RNU6-41
SOGA1	DNMT3A	RNU6-8
CCDC15	TMEM41A	CAMTA2
MGAT4A	C17orf96	ZNF696
MTERF	GLUD1	KLHDC3
STX17	MYLIP	SUPT6H
CHAC1	TCEAL8	KATNBL1
GRIP2	ZDHHC3	RANBP9
LPAR5	VPS18	GRSF1
HAUS2	TLN1	ARL17A
RFXAP	C1orf52	SLC40A1
PHF13	MRPL21	STAG1
NSDHL	MED19	TRIB2
GTF2B	TTC32	UBN1
ECD	RFWD2	RALY
MTF1	ATRX	MOV10
SPRED2	MRPL48	TADA2A
TTC39C	C18orf21	CDK4
RNF6	LSS	ZFP62
ARMCX3	ABCB9	ITPR1
TCEA1	DNHD1	PCIF1
WNK1	C11orf68	SRPR
SORT1	DBF4	SLC9B2
MECR	ZNF273	SHC4
SLC7A1	FLVCR1-AS1	TMSB15B
C22orf32	SF3A3	HAUS2
SMDT1	PRUNE2	DNM1L
EAF1	GNS	RNF4
MRPL52	TMEM173	ZMIZ1
EIF1AX	SH3BGRL	ITFG2
IGF2BP3	GABPB2	TPD52L2
ZNF559	PDZD11	DTD2
DAG1	ATP5J2	NADK2
CSRP2BP	FUK	NADKD1
NPIPB3	WWC3	TMED7
NPIPL3	KDM1A	MRPL40
COG5	GAPDHP63	FAM83D
PDPK1	RBMX2	MOB4
CHST11	SSBP4	GPATCH1
STRN3	MOB1B	BTRC
EFHA1	COA5	RAB12
MICU2	JAGN1	HEATR1
SGOL2	NOL8	CLU
PRKAB2	MINK1	TMEM70
TRPT1	NAP1L4	NMT1
ZNF136	MGME1	IVD
TRIM47	UBOX5	SUPT16H
ITGAE	SBDS	ARL6IP1
SLC35F6	FAM189B	NLN
ZNF384	ZC3H4	API5
CPA4	CCNI2	RAB2A
ST13P2	WHAMMP3	SENP8
AXIN1	ITFG2	CXXC1
TPX2	TMEM9B	JOSD1
SFXN3	CCDC23	TMEM184B
COPG1	RPS4Y1	CD58
NUP50	RAB15	TUBBP1
SLC30A4	RAPGEF6	GPR108
RPL23AP2	AMOT	SLC16A6
PAIP1	TOX	SSBP1
FOCAD	MTMR4	LY6G5B
PER2	METTL17	SRR
FADD	ZFYVE16	ADSL
CLTC	STK4	ZNF133
PAM	SPCS3	CD8A
METTL18	GDI1	ZNF525
DCAF11	FAM178A	SETP4
NEIL3	MAP4K5	ZFYVE1
WDHD1	PDIA5	RNF146
MIEN1	ODF2	BRMS1
SNORD42A	PLEKHG4	UBQLN1
RABEPK	HNRNPDL	TMEM128
WARS2	HNRPDL	WDPCP
HIF1AN	DUSP18	ZMYM6
RPS7	RMND5B	COMMD9
LRRC40	GLIS2	ACADM
C9orf123	TSPAN3	INTS2
MPP6	ASH2L	MRPS23
TK2	FBXO8	GART
H2AFV	TMED5	NLE1
CDK17	TBL3	MX2
MLLT11	ATP6V1G1P3	SLC29A3
SOWAHA	TRMT61B	TYK2
SNORD36C	APC	ABCF3
SNHG6	AP2S1	PLEKHH1
ZNF444	RBM25	ORC2
UQCRFS1P1	SLC25A51	CDC42BPA
SLC25A30	ABL1	KPNA2
CPEB3	SRM	TMEM14B
SNRPD1	RHEBP1	CERK
PDLIM1	ZNF337	BCL11A
MDN1	UVRAG	CENPQ
RARS	SEC61G	TK1
ARHGAP21	SNHG5	PTMS
GLCCI1	DEPDC1B	B3GAT3
USMG5	MAP3K4	RRP15
HDAC4	FOXP4	STAU1
SNX29	SLC15A4	BCL6
PCBP1-AS1	CHMP4B	GLA
FAM134C	KIAA1279	CCP110
FAM120C	CCDC107	DDX24
FLVCR1-AS1	CEP55	CALU
EOGT	MCRS1	MARK2
LMBR1L	GCDH	XRN2
DDX27	RPL4P4	AP4E1
DCTD	UBL7	TBC1D8B
MRPL48	TCEAL4	P4HTM
MRPS14	EIF4EBP1	ENTPD6
SIAH1	CREBBP	IFT27
SGCB	TNK2	AAR2
RPA3	TSR1	NAE1
PTPLAD1	TSSC1	COQ4
RAD54B	TESK2	CRTC3
EIF2B4	NLRX1	FUT10
FIP1L1	PHF13	SETP22
MT-CO2	N4BP2L1	ALDH9A1
AP3D1	TUBG1	RPS26P11
USO1	KAT6A	ETFA
ITK	ESYT1	ZBTB48
FAM104A	BCL10	NELFCD
DHX37	CCDC88B	RPS4XP22
PA2G4	ABCG1	MFHAS1
TMEM59	FGFR1	PIPSL
YPEL5	CCDC104	PDCL3
HIST1H4J	TIPRL	DCK
CASP6	PRKAB1	FAM185A
HIST1H4K	SEC31B	KIAA1522
CDK5RAP3	STARD4	PIGS
ATG14	GAL3ST4	SPNS3
M6PR	UBR3	IMP4
PCNX	GAPDHP70	C12orf10
POLDIP2	USP38	INO80B
ZFP91	LARP4B	DIS3
ZNF639	CRYZL1	ACAA2
XPOT	DUSP3	RPL35A
TMPRSS3	NBPF20	FLVCR1-AS1
CHD7	ST3GAL5	TCFL5
DCAF12	DLGAP5	AKAP11
C1GALT1	BFAR	CCDC28A
SETD9	FZD2	ITFG3
CENPE	IKZF2	SLC16A1
TMEM164	SCRN1	FAM58DP
SLC16A1	TAGAP	VAPA
PGK1	CLUHP3	C12orf5
DUSP4	MYPOP	SPN
TRIM41	PTTG3P	NUP85
SCPEP1	BLOC1S4	FXN
ARSK	YWHAB	TRIM11
GHITM	UCK2	FAM89B
SMARCAD1	ARL8A	KHK
DOK4	RPS4XP22	ERCC5
SLC30A5	HMGN1	PHF20L1
THOC1	TMEM177	CCDC47
PFKM	HNRNPA2B1	HSP90AB1
ATF2	MKRN3	SLC25A44
ANXA1	SNRNP200	FAM175A
ZNF37A	ZMYND11	MRPS26
NECAP2	ZNF76	EOGT
UBE2C	BCCIP	FAM207A
CEP72	BRMS1	BTF3P11
ABCB9	CCDC43	DTWD1
TNFAIP8	IARS2	CTTN
SMU1	MFI2	TSEN15
AAMP	ZNF605	BRWD3
PTPN1	RTF1	TDRKH
PAN3	PPM1K	ZNF451
RN7SKP9	RNF44	MYNN
SLC16A6	C15orf41	EIF2B5
KLF7	SENP5	C4orf46
OPN3	YWHAQ	IL10RB
HNRNPR	RPL9P5	RPL8
NUDT21	EEF1B2P3	FRYL
DDX26B	KCNK12	LONP1
ERLEC1	C12orf5	POLR3G
EIF3L	NVL	RN7SKP71
MRPL20	HEATR5A	ZFYVE21
DNAJB12	FUS	BHLHB9
CCDC157	NIF3L1	FADS2
EPT1	ASPHD2	ENTHD2
SYNJ1	NBPF9	RPL4P6
ALG5	PCBP1	DDX10
RANBP2	GIPC1	NAA35
PGAM1	PPAT	RPS26
AREL1	SEPT7P2	UGT8
KIAA0317	API5	RAB3IP
BHLHB9	C12orf4	RPL10AP2
NNT	PPARA	IL11RA
PITPNA	DUS4L	TOMM40
RSRC2	OSTCP4	EXT2
WDR1	DLD	C14orf2
RUNX2	RPPH1	ATAD3B
TMEM198B	SMARCA4	PCOLCE2
GPR155	DPH5	TXN2
EPB41L4B	CDCA2	TMLHE
TXNL4B	RPL21P75	CAND2
CUTC	TRIM68	RNF25
RPL12P11	LDB1	POGK
SMAD3	OSGEP	N4BP3
PRMT2	ITGB3BP	FAM178A
MAPKAPK3	NDRG1	STRN4
RFC3	CDS2	CRNDE
GNL1	SMG7	C16orf87
PSMD2	HMGCL	RPS27P26
ZNF202	ASPSCR1	ZNF106
CNTROB	FAM21D	ADNP
AKR1B1	ZMYM3	ZNF518B
PON2	CYCS	KIAA1143
TMSB15A	MND1	REEP4
KIF5C	CDKN1B	GFI1
KSR1	UIMC1	PGPEP1
VCPIP1	PYGB	THSD1
FKBP4	DNAJC2	ANKRD54
NAGPA	CCDC18	YIPF5
TMEM161B-AS1	PHF15	ARSB
E2F5	ICMT	MLLT11
KCNJ4	PAGR1	MAML1
MMP24-AS1	ZC3H3	SNX30
TXNDC5	RUVBL1	PANK4
RNF19A	SLC25A19	BEND6
XRCC4	ATOH7	TNS4
NT5C3	GCLC	FAM24B
NT5C3A	IFI16	RPS2P7
RPS8	RSL24D1	DCAF7
LAT	UBE2L6	CRBN
TNRC6A	RGS6	SIL1
CLN8	PRICKLE3	GLCCI1
KCNJ11	SETP22	MTCH1
UBA52	NELL2	LSM14B
NEK7	HELLS	VPS36
CC2D1B	TM4SF19-AS1	ZBTB7A
GLO1	PGM3	RNU6-5
TCERG1	POP4	RNU6-5P
DGCR6L	VIPR2	GDAP2
ERCC3	C1orf21	GID8
ATP5G3	MFNG	ELK4
PPP4R2	L3MBTL3	NUP93
PABPC1	C1orf159	SC5D
RWDD4P2	LMO7	SC5DL
SNORD5	ABI2	ICA1L
COPB2	ZNF569	DRG1
RBM26	CYFIP1	ANKRD37
ZNF273	METTL23	ASIC3
VANGL1	DOCK2	SLC39A8
SRSF8	FABP5	TNFRSF21
PGM1	CPA4	DUSP1
SAC3D1	C5orf15	HIF1AN
DGAT1	RN7SKP146	MAGED2
NUP98	GRB10	SLC35A1
VWCE	CHD1	RNU1-5
RSAD1	RNASEK-C17orf49	RNVU1-18
USB1	TASP1	FGD1
NHP2L1	ZNF45	SETP6
POLR3C	RIF1	PPP1CC
TOP2A	SRGAP2	UBAC1
TM9SF2	EEF1A1P19	PGAM1
FBXO38	RRP36	CKAP4
DCBLD2	NMT1	ZFAND3
EBNA1BP2	WASL	SPAG7
NFU1	SAP30	TIPIN
FGD6	TFG	PLS1
SAP130	PRDM15	ZNF341
EXOSC9	FAM160B1	NARS2
C1orf52	COX6B1	ZCCHC3
COA5	UBN2	RBM15B
RBMX2	MTHFS	CEP70
TMEM170B	FAM24B	MMGT1
OS9	RAPGEF2	PMEPA1
ARHGEF3	RPS7P1	CTAGE5
HMGN2	SSBP2	ARMC5
MT-ND4	PATL2	SPATA7
ST8SIA4	CD5	PRR3
RNF2	MPHOSPH8	TSEN2
MRPL2	GPR124	FAM96A
CFTR	MFAP3	COMMD1
BLOC1S5	C18orf32	TBCC
SNAP23	MFSD1	YBX1
GPSM1	TRAPPC6A	SDHAF1
SCYL1	TOR1B	ARL5A
RFTN1	LRRC28	SPSB1
SCAF8	SPPL3	CHORDC1
ANKRD27	LGALS8	MED25
HIGD1A	SLC35E1	HMGN5
CYB5D2	MTMR1	SLC44A5
FAM189B	RNF8	TOLLIP
FAM72D	NOSIP	FAM126B
MAP1S	NAA20	ADAM15
HIGD1AP14	BUD31	RPL26P30
ABCC5	SCAF4	CCNT2
SLC3A2	ENO1-AS1	TBC1D4
ZFYVE19	CD164	ZNF641
POLDIP3	FAM72D	SMEK1
ZNF148	PRKRIP1	TMEM131
HSPE1	NPTN	MIAT
DNAJB9	ASB1	NBEAL1
GTF2H2C	C12orf49	SSH2
CREG1	HSPA9	CLDND1
ZFYVE21	TPD52	HILPDA
ZBTB5	CAND2	DPAGT1
DCUN1D2	GORASP1	REPS1
BCL7A	RGS14	RHBDF2
B4GALT6	CCNC	VPS35
MPC2	HSPBP1	STAT5A
BBS7	LINC00324	GLS
TSPAN3	SPRY1	SENP2
SCARB2	DRAP1	PPIL2
NOL9	KLHL28	ZDHHC16
TMEM194A	BRAP	PHIP
NRARP	KLHL42	PRPSAP2
PBX3	ZFP64	LAMTOR4
TOPORS	SERINC3	AKR1C3
RAB27A	TFB2M	SPATA13
RALGAPA2	NRGN	SNX27
SUCO	COPS5	PACRGL
TERF1	NPHP4	HOXB4
FAM3C	ZNF704	HSPA8P9
EZH1	STOML1	GPHN
PI4KAP1	IFRD2	PCNXL3
EEF2K	ATG9A	ATP5L
MAMLD1	EML4	CD52
ICMT	CACTIN	ZNF644
CREB1	SCYL3	AGGF1
TCEB3	TMA16	KDM5D
UROD	MPV17	DCLRE1A
XXYLT1	RREB1	TMEM183A
SP3	FAM174A	SENP3
PHKG2	ATM	EIF2S1
CHN2	ZC3H15	RBM42
NME4	PTPN3	LINC00174
RPL10	HLCS	CCZ1B
VWA8	STIL	CEP44
RNF181	ASUN	SLC25A4
PPP1R12A	FOXO6	MYC
DDX3X	RPS3	SNRPB
MRPS22	JOSD2	TMED2
ZNF624	AURKB	PMM1
RFT1	RSC1A1	HOOK3
INPP5B	AKAP1	MPHOSPH9
C1GALT1C1	E2F6	C6orf48
DDX1	TMEM99	ZNF572
NFYC	AHCYL2	ZNF410
NMT2	ENTHD2	EIF4E2
PAK1IP1	BMPR2	USP32
RAVER2	RPL4P6	RNU6-3P
MTCH1	TRIB3	RNU6-31
SAV1	TXNDC5	CTBP2
FAM72B	HARS	GTF2E1
SLC2A3	THAP9-AS1	MAPKBP1
KDM2A	SNAP47	RPN1
SPICE1	TNS4	TMEM110
NDUFV3	HCG18	SLC7A6
NDUFS5	ZAP70	SP100
CDC27	JMJD7	C10orf88
POGZ	C6orf120	CLIC1
KIAA2018	UQCR11	HPRT1
PRPF4B	MRPL23	ZNF436
TATDN1	MSANTD2	TRIM36
HK2	ACTB	HSD17B10
DEDD2	VHL	C12orf29
DNAJC21	WHAMM	COX4I1
ZSWIM5	HM13	C7orf29
PHF20L1	HERC5	ZBED6CL
CBX3P1	PCID2	MANBA
ZNF571	SKIV2L	RNU6-46
CORO1C	MBNL1	RNU6-46P
PPOX	UBL3	SEPHS1P5
NXT1	DCP1A	TIMM9
IQSEC1	IKZF3	ARL6IP5
EIF3LP2	FLCN	TEX2
TUBG2	TSC22D1	N4BP2L1
SUPV3L1	TRIM39	SMC5
ZNF138	STRA13	RHOQP3
UBXN2B	TRANK1	WBP11
GPX7	PRKAA2	KLHL9
PSMA1	NDUFAF3	TNK2
AUH	HES5	ZNF527
CEP350	PGPEP1	UBAP1L
ZBTB2	WDR12	CATSPER3
ATAD1	PPP1R10	ATR
MOSPD2	MED30	BFAR
SPAG16	IL26	SAAL1
TSPAN17	ZNF140	FAM149B1
DOCK8	U2AF1	CWF19L2
NAE1	MRPL45	TIGD2
ALDOC	SLC41A3	ZNF738
RPN1	HIGD1A	SLC45A4
SRSF4	SRP72	AKD1
ANO6	ACBD5	AK9
ERCC2	PDCL3	PTPN11
TTC9C	SLC9A3R1	RPL24
CANT1	RPL21P40	SLC26A6
CDC40	FAM171A1	SRPK1
REEP5	INPP5E	CNN3
GNG10	KCNMB4	DENND1B
APPL1	WRAP73	OGG1
IGIP	MANEA	NOP56
MAPK14	ZFAND2B	RNU6-33P
SCLT1	GNAI3	RNU6-33
BET1	ACTR3B	SLAIN2
GNPDA1	ILF2	TNKS
SERPINH1	ZBTB9	KANSL3
DROSHA	STAT1	TCF19
PCYOX1L	NIPSNAP3A	KRIT1
U2AF1L4	SKP2	KIAA0319L
SNX10	CBWD2	C5orf54
FAT1	IARS	DNAJC3
PLK4	RAB8A	FKBP14
NKIRAS1	CYP26B1	SH3KBP1
EMB	ZNF148	MSL3
PLEKHF2	RAN	SMAD3
HACE1	RN7SKP176	TSEN54
CCDC12	SPHK2	SCYL1
EIF4E2	STX18	SLC25A46
SCYL2	MRRF	ABHD2
ELK4	MAN2B1	AP2S1
RMI2	HOOK3	NDUFB1
SRPK2	APBB1IP	RBMXL1
ZNF808	CEL	SLC25A20
SLC25A15	GINS4	LEPROTL1
CAAP1	E2F5	RFX5
SENP6	GGT7	CUL4B
MSN	ZNF436	TRAPPC3
STRN4	USP48	RPS2P4
UPF3A	GEMIN7	ATAD2
PRR3	BCKDHA	NHLRC2
PI4KA	REEP2	SNHG3
TRNT1	SLC25A14	ADAM17
ZNF317	RHEB	CUL5
SQLE	INPP4A	ZNF783
RPL31P49	TMEM48	RPL21
ENSA	NDC1	MGRN1
LRPPRC	CKAP5	DNMT1
TFAP2C	UAP1	NRAS
VPS37A	AGA	MARCH7
CCDC93	ZNF182	TET2
FAM168B	TNIP2	HNRNPA3P5
RPGR	ZBTB5	RPS2P32
LRRC42	TRUB1	FBXO18
USP15	PLEKHF2	ZNF681
SNED1	PUS7	RNF34
GLRX2	EDC3	SLCO2A1
REPIN1	PCBP4	TCEAL4
CDK5RAP2	DBNL	CHTF8
GUCY1B3	CNOT7	MAX
ITGB3BP	ZFAND5	LMF1
PTP4A1	COPS7A	SEPT9
MORN2	TMEM255A	RPAP2
DDX24	BARD1	ZNF236
TPMT	GTF2B	SLC7A3
ANKRD32	EIF2B3	UTP14C
SLMAP	SH3BP5L	PIK3R2
SMAGP	FBXW2	SNRPE
ITPK1	THSD1	KIF20B
CTXN1	MDP1	CBX6
RNF141	PCMTD2	GNB1L
NIPA1	MLEC	LASP1
GNS	POMGNT1	RPS11
USE1	FZD3	CAPZA1
GYG1	UFL1	P4HB
DDHD1	RAB5C	DIEXF
ANAPC5	MIER3	DNAJC21
DYNC1LI2	ST6GAL1	COMMD4
UBE2E3	SUZ12	UPF3B
LRRFIP2	PLOD1	AKAP1
SSH2	APIP	C5orf22
FIG4	VPS36	EPB41L5
ASIC3	SMARCD3	ZNF776
RRNAD1	HEATR1	ZDHHC23
S100A6	RASA4	PTTG1IP
C6orf62	SNX15	IQCB1
DLX2	CNPY4	UBE3A
CD53	HNRNPA3	CRKL
TRBC2	CNPPD1	PIGP
HSD17B7P2	FKBP14	MRPL11
USP33	EPB41L4A-AS1	GFPT1
CSTF2T	TRMT2B	VPS37B
PSAP	ATP11C	MIOS
RNF144B	DFNB59	SLC6A15
MAMSTR	DUS2L	OSTCP4
THOC5	RNF169	SAMD1
SH3BP5-AS1	FUBP1	TUBGCP5
FASTKD5	IGF2BP3	BCOR
FAM21A	DONSON	GNL3
TBC1D5	TTK	MCCC1
AMD1	NRAS	RPL36
PIGC	ZMAT3	BIRC6
HNRNPUL1	PPP1R12A	CDK6
ZBTB8OS	SCAMP1	ZFPL1
PSMG4	REEP5	COQ9
MOB1B	RAC1P2	SCP2
PTPMT1	WISP3	IREB2
TOR1AIP1	GEN1	YTHDF3
ZNF510	MREG	TMEM186
ECT2	WASF1	PPP1R12B
GMEB2	ZNF527	GZF1
STARD4	UGDH	FAM204A
NBPF12	NTAN1	RNF10
SLC25A5	LINGO4	NFS1
SEMA4F	RBM23	SEC63
ITGAV	SPOP	CD44
DRG1	USP35	NAMPTL
FBXW11	MTATP6P1	JAK2
PSEN1	NEO1	DSCR3
KCTD1	OGT	SUDS3
GOLPH3L	CCNE1	SLC23A3
RPL35	SAP130	POMT1
PPP1CC	RSG1	RTN3
PSMB7	C1orf134	STYX
CRKL	GPN3	DUSP18
COL11A2	INO80E	POLR2F
MSH2	SAMD9	NGFRAP1
ZRANB1	KIAA1737	OIP5
RAB11FIP1	EIF4G1	EID2B
VPS28	CYP4V2	ITGB4
VIM-AS1	ENTPD6	GTF2F2
MAP3K7	FOPNL	MKLN1
NXT2	KARS	CHST10
DLEU2	RGPD8	PHACTR4
FOXP4	RNFT1	PEX19
TOMM22	SDE2	MAP3K8
LINC00467	F8A2	SLC10A7
COG1	TADA2A	TFG
PPP1R21	UQCRH	SLU7
GEMIN5	GGACT	TMEM38B
ARMCX5	CDK13	POLR2G
FAM120A	H3F3AP4	CCNJL
ZNF438	PRMT1	TMEM87A
PDCD6	PITPNM1	MUS81
DYRK4	FAM103A2P	CACNB4
NDUFB5	THOC1	MKRN2
KIAA0146	MT-CO2	C11orf65
SPIDR	DNAJA2	ULK1
DHX32	ADAM10	POLR2J
FRMD5	NUP35	NUP62
FOPNL	PIGL	SLC2A12
C9orf40	PTGES2	CPA5
APBB1IP	MRPS25	NAA60
G2E3	ETNK2	EEF1A1P13
ACO2	NDUFA5	WWP1
RAP1B	COPS8	PRDX6
COX6A1P2	STEAP1B	F8
SHISA5	COL11A2	ZCCHC2
TRAPPC3	NDFIP2	KIF3C
PCMTD1	TRIOBP	IFNGR2
TMEM208	ZNF618	MTPAP
DNTTIP1	SLC11A2	PIGL
RYK	ETS2	PGM3
LNX2	ANKIB1	ELMO3
METTL5	TOMM40	RPL34
TPM1	FAM213B	ASH1L
KANSL3	ZNF331	MFSD9
TOP2B	ASH1L	ST3GAL1
C3orf38	THAP5	SNORD36C
RANBP3	REL	CAB39
RPL37	GPSM3	BLMH
HRSP12	DYNC2LI1	IWS1
DIP2B	BACH2	ETHE1
PSMD1	OCRL	BZRAP1
CARD8	NFKBIB	TRMT44
C12orf45	SMCR7L	CENPF
PXK	RPL21	PPAPDC1B
VTA1	APPBP2	ZDHHC17
PTP4A2	ACSF3	SNORA76
PDE4DIP	ZNF816	PTP4A1
RRP15	CALCOCO1	EPS8
COX6A1	CSNK1E	TARBP1
UNC119	GTF2H3	GLCE
MORC3	CENPBD1	TBC1D7
MRPS31	FAM160A2	CORT
PPM1F	LANCL2	CUL1
GSTK1	STK38	NSFL1C
SUV39H1	SULT1A2	NLGN3
KLF10	CD109	PDP1
AGPHD1	OSBPL2	EXOG
HYKK	NEURL4	FBXL12
CAMTA1	PPP3CC	APBB1
ZSCAN2	GPR107	CTBS
KIF11	HCST	TAF5
TRIM35	SYNRG	ASF1B
SRP19	SUMF1	PAXBP1-AS1
LTB	ARHGAP33	HACE1
C9orf156	TMEM156	SMC2
TMEM135	RPL9	CCDC58
EIF2B1	UBA1	NAPEPLD
NFS1	SNX24	RPL5
PITPNM2	KCTD13	DNAJB14
RPN2	TRAT1	RNF19A
GID8	PMS2	MT-CYB
CDK13	MRPL16	SWAP70
ZNF275	PI4KA	FYB
CXorf56	PI4KAP1	SCN8A
FAM83D	RPP30	DHRS4L2
MSMO1	CHPF	LINC00659
NF1	KBTBD4	OPA1
ARID4A	RAB28	KDM5C
FEM1A	SNX19	ZNF333
GTF2H5	FAM76A	SAC3D1
RC3H1	EPB41	KAT2A
DPF2	HMGN2	SEC22A
BBS10	STK11IP	HSPA8P8
PDCD4	AKAP2	TBC1D24
MYO9A	MFN2	MAST2
RIOK3	DESI2	HSPA4
SLC35B4	PHF19	PHTF1
SYNE1	C6orf52	CBR3-AS1
TSHZ3	RPUSD2	GPANK1
THAP1	TMEM135	GLB1L
SEPHS1P1	RNF11	NOL8
